version,review_count,average_rating,negative_percentage,one_star_percentage,two_star_percentage,average_sentiment,dominant_issue,issue_percentage,neg_zscore,unusual_negative
16.68,4,2.0,50.0,75.0,0.0,-0.169,App Update Complaints,33.3,,
16.70,1,5.0,0.0,0.0,0.0,0.706,n/a,0.0,,
16.71,1,1.0,100.0,100.0,0.0,-0.946,"General / Mixed (noisy, other-language)",100.0,,
16.73,6,3.67,33.3,33.3,0.0,-0.168,Customer Support,50.0,,
16.75,3,3.0,66.7,33.3,0.0,-0.473,"General / Mixed (noisy, other-language)",100.0,,
16.77,1,4.0,0.0,0.0,0.0,0.452,n/a,0.0,,
16.78,2,3.0,0.0,50.0,0.0,0.216,n/a,0.0,,
16.79,4,4.25,50.0,0.0,0.0,-0.006,"General / Mixed (noisy, other-language)",100.0,,
16.82,2,5.0,0.0,0.0,0.0,0.772,n/a,0.0,,
16.87,4,2.0,75.0,75.0,0.0,-0.273,"General / Mixed (noisy, other-language)",66.7,,
16.89,2,4.0,50.0,0.0,0.0,0.079,"General / Mixed (noisy, other-language)",100.0,,
16.95,3,2.33,33.3,66.7,0.0,0.086,"General / Mixed (noisy, other-language)",100.0,,
16.96,2,5.0,0.0,0.0,0.0,0.704,n/a,0.0,,
16.99,1,5.0,0.0,0.0,0.0,0.61,n/a,0.0,,
17.12,5,4.2,20.0,20.0,0.0,0.045,Generic Negative Experience,100.0,,
17.15,1,5.0,100.0,0.0,0.0,-0.622,"General / Mixed (noisy, other-language)",100.0,,
17.16,3,5.0,0.0,0.0,0.0,0.58,n/a,0.0,,
17.17,4,2.0,75.0,75.0,0.0,-0.355,"General / Mixed (noisy, other-language)",66.7,,
17.23,1,1.0,100.0,100.0,0.0,-0.862,"General / Mixed (noisy, other-language)",100.0,,
17.24,1,5.0,0.0,0.0,0.0,0.652,n/a,0.0,,
17.27,5,4.8,40.0,0.0,0.0,-0.104,"General / Mixed (noisy, other-language)",100.0,,
17.29,4,2.5,50.0,25.0,50.0,-0.217,App Update Complaints,66.7,,
17.31,3,5.0,0.0,0.0,0.0,0.571,n/a,0.0,,
