version,issue,review_count,pct_of_version_issues
17.64,"General / Mixed (noisy, other-language)",2,100.0
17.70,Customer Support,1,100.0
17.72,"General / Mixed (noisy, other-language)",2,66.7
17.72,Severe Dissatisfaction ('worst app'),1,33.3
17.74,High Brokerage / Charges,1,100.0
17.78,"General / Mixed (noisy, other-language)",2,100.0
17.85,Generic Negative Experience,1,50.0
17.85,"Hinglish Reviews (language, not an issue)",1,50.0
17.87,"General / Mixed (noisy, other-language)",1,100.0
17.88,"General / Mixed (noisy, other-language)",2,66.7
17.88,Customer Support,1,33.3
17.90,High Brokerage / Charges,1,100.0
17.91.0,Charts / App Not Working,1,100.0
17.91.1,Charts / App Not Working,1,50.0
17.91.1,"General / Mixed (noisy, other-language)",1,50.0
17.92.3,Charts / App Not Working,1,50.0
17.92.3,"General / Mixed (noisy, other-language)",1,50.0
17.94.1,"General / Mixed (noisy, other-language)",1,25.0
17.94.1,Generic Negative Experience,1,25.0
17.94.1,High Brokerage / Charges,1,25.0
17.94.1,"Hinglish Reviews (language, not an issue)",1,25.0
17.95.0,Charts / App Not Working,1,33.3
17.95.0,"General / Mixed (noisy, other-language)",1,33.3
17.95.0,Severe Dissatisfaction ('worst app'),1,33.3
17.95.1,"Hinglish Reviews (language, not an issue)",1,100.0
17.95.2,"General / Mixed (noisy, other-language)",2,40.0
17.95.2,Charts / App Not Working,1,20.0
17.95.2,High Brokerage / Charges,1,20.0
17.95.2,"Hinglish Reviews (language, not an issue)",1,20.0
17.96.5,Charts / App Not Working,1,100.0
17.96.6,"General / Mixed (noisy, other-language)",1,100.0
17.98.0,"General / Mixed (noisy, other-language)",1,100.0
17.99.1,"General / Mixed (noisy, other-language)",1,100.0
18.0.0,"General / Mixed (noisy, other-language)",2,66.7
18.0.0,Severe Dissatisfaction ('worst app'),1,33.3
18.1.1,"General / Mixed (noisy, other-language)",8,72.7
18.1.1,Generic Negative Experience,2,18.2
18.1.1,High Brokerage / Charges,1,9.1
18.10.1,"General / Mixed (noisy, other-language)",127,50.0
18.10.1,Charts / App Not Working,28,11.0
18.10.1,App Update Complaints,25,9.8
18.10.1,High Brokerage / Charges,20,7.9
18.10.1,Customer Support,19,7.5
18.10.1,"Hinglish Reviews (language, not an issue)",16,6.3
18.10.1,Severe Dissatisfaction ('worst app'),13,5.1
18.10.1,Generic Negative Experience,6,2.4
18.11.0,"General / Mixed (noisy, other-language)",4,50.0
18.11.0,Customer Support,2,25.0
18.11.0,Charts / App Not Working,1,12.5
18.11.0,Generic Negative Experience,1,12.5
18.11.1,"General / Mixed (noisy, other-language)",106,53.0
18.11.1,App Update Complaints,16,8.0
18.11.1,Charts / App Not Working,16,8.0
18.11.1,High Brokerage / Charges,16,8.0
18.11.1,"Hinglish Reviews (language, not an issue)",15,7.5
18.11.1,Customer Support,11,5.5
18.11.1,Generic Negative Experience,11,5.5
18.11.1,Severe Dissatisfaction ('worst app'),9,4.5
18.12.0,"General / Mixed (noisy, other-language)",1,100.0
18.12.1,"General / Mixed (noisy, other-language)",100,48.1
18.12.1,Charts / App Not Working,26,12.5
18.12.1,Customer Support,23,11.1
18.12.1,App Update Complaints,15,7.2
18.12.1,"Hinglish Reviews (language, not an issue)",14,6.7
18.12.1,High Brokerage / Charges,12,5.8
18.12.1,Severe Dissatisfaction ('worst app'),12,5.8
18.12.1,Generic Negative Experience,6,2.9
18.13.1,"General / Mixed (noisy, other-language)",15,71.4
18.13.1,High Brokerage / Charges,3,14.3
18.13.1,App Update Complaints,1,4.8
18.13.1,Customer Support,1,4.8
18.13.1,"Hinglish Reviews (language, not an issue)",1,4.8
18.13.2,"General / Mixed (noisy, other-language)",144,56.9
18.13.2,"Hinglish Reviews (language, not an issue)",24,9.5
18.13.2,App Update Complaints,20,7.9
18.13.2,Customer Support,18,7.1
18.13.2,Charts / App Not Working,17,6.7
18.13.2,High Brokerage / Charges,14,5.5
18.13.2,Severe Dissatisfaction ('worst app'),12,4.7
18.13.2,Generic Negative Experience,4,1.6
18.14.0,"General / Mixed (noisy, other-language)",15,38.5
18.14.0,High Brokerage / Charges,6,15.4
18.14.0,Customer Support,5,12.8
18.14.0,"Hinglish Reviews (language, not an issue)",5,12.8
18.14.0,Generic Negative Experience,4,10.3
18.14.0,App Update Complaints,2,5.1
18.14.0,Charts / App Not Working,1,2.6
18.14.0,Severe Dissatisfaction ('worst app'),1,2.6
18.14.1,"General / Mixed (noisy, other-language)",49,47.1
18.14.1,Customer Support,14,13.5
18.14.1,App Update Complaints,13,12.5
18.14.1,"Hinglish Reviews (language, not an issue)",9,8.7
18.14.1,High Brokerage / Charges,8,7.7
18.14.1,Charts / App Not Working,7,6.7
18.14.1,Generic Negative Experience,4,3.8
18.14.2,"General / Mixed (noisy, other-language)",31,51.7
18.14.2,Customer Support,12,20.0
18.14.2,Charts / App Not Working,5,8.3
18.14.2,App Update Complaints,3,5.0
18.14.2,"Hinglish Reviews (language, not an issue)",3,5.0
18.14.2,Severe Dissatisfaction ('worst app'),3,5.0
18.14.2,High Brokerage / Charges,2,3.3
18.14.2,Generic Negative Experience,1,1.7
18.15.0,Severe Dissatisfaction ('worst app'),1,100.0
18.2.1,"General / Mixed (noisy, other-language)",2,66.7
18.2.1,"Hinglish Reviews (language, not an issue)",1,33.3
18.3.1,High Brokerage / Charges,3,42.9
18.3.1,"General / Mixed (noisy, other-language)",2,28.6
18.3.1,Charts / App Not Working,1,14.3
18.3.1,"Hinglish Reviews (language, not an issue)",1,14.3
18.4.2,"General / Mixed (noisy, other-language)",2,100.0
18.4.3,"General / Mixed (noisy, other-language)",53,54.6
18.4.3,App Update Complaints,13,13.4
18.4.3,High Brokerage / Charges,7,7.2
18.4.3,"Hinglish Reviews (language, not an issue)",7,7.2
18.4.3,Generic Negative Experience,6,6.2
